ITEM NO.,UNITS,LS UNITS,DESCRIPTION
205-0300,MI,* * * Requires Special Provision * * *,CONTRACTOR CERTIFIED CROSS SECTIONS
205-1000,CY,* * * Requires Special Provision * * *,REMOVAL OF CONTAMINATED SOIL
205-1001,CY,* * * Requires Special Provision * * *,REMOVAL OF SOIL - RAILROAD
206-0001,CY,* * * Quantity & Location must be verified when using this item  * * *,BORROW EXCAV
206-0002,CY,,"BORROW EXCAV, INCL MATL"
207-0203,CY,,"FOUND BKFILL MATL, TP II"
207-0204,TN,* * * Requires Special Provision * * *,"FOUND BKFILL MATL, TP II"
207-2003,CY,,"IMPERFECT TRENCH BKFILL MATL, TP III"
208-0100,CY,,IN PLACE EMBANKMENT
208-0200,CY,,ROCK EMBANKMENT
208-0300,CY,* * * Requires Special Provision * * *,LIGHTWEIGHT EMBANKMENT
208-0500,TN,* * * Requires Special Provision * * *,ROCK EMBANKMENT
209-0201,TN,,"STABILIZER MATL, TP I"
209-0202,TN,,"STABILIZER MATL, TP II"
209-0203,TN,,"STABILIZER MATL, TP III"
210-0100,LS,,GRADING COMPLETE -
210-0200,LM,,GRADING PER MILE
210-0250,CY,,UNDERCUT EXCAVATION
211-0200,CY,,"BRIDGE EXCAVATION, GRADE SEPARATION"
211-0300,CY,,"BRIDGE EXCAVATION, STREAM CROSSING"
211-1000,CY,,BRIDGE EXCAVATION
212-1000,CY,,"GRANULAR EMBANKMENT, INCL MATL & HAUL"
213-1000,CY,* * * Requires Special Provision * * *,SAND BACKFILL
214-0100,LS,* * * Requires Special Provision * * *,MITIGATION SITE CONSTRUCTION
214-0200,EA,* * * Requires Special Provision * * *,"MITIGATION SITE CONSTRUCTION, ROOT WADS"
214-0300,EA,* * * Requires Special Provision * * *,LOG WEIR/ VANES
214-0400,SY,* * * Requires Special Provision * * *,BRUSH MATTRESSES
215-4000,CY,,REMOVAL OF SOLID WASTE
217-1000,EA,,"REMOVAL OF UNDERGROUND STORAGE TANK, STA NO -"
217-1500,CY,,OVEREXCAVATION OF CONTAMINATED SOIL
218-1000,CY,,BLANKET FOR FILL SLOPES
222-0900,CY,* * * Requires Special Provision * * *,GRANITE FINES  (M-10)
222-1002,TN,,"AGGREGATE DRAINAGE COURSE, TP 2"
222-2001,CY,,"AGGREGATE DRAINAGE COURSE, TP 1"
222-2225,CY,,"DRAINAGE BLANKET MATERIAL, TP III"
222-3000,CY,* * * Requires Special Provision * * *,GRANULAR DRAINAGE BLANKET
222-4000,CY,* * * Requires Special Provision * * *,DRAIN FILL - FINE
222-4001,CY,* * * Requires Special Provision * * *,DRAIN FILL - COARSE
225-4330,SY,,"SOIL-LIME TREATED, ROADBED, CL C, 6 IN"
225-4340,SY,,"SOIL-LIME TREATED, ROADBED, CL C, 8 IN"
225-4345,SY,,"SOIL-LIME TREATED, ROADBED, CL C, 9 IN"
225-4360,SY,,"SOIL-LIME TREATED, ROADBED, CLASS C, 6 INCH"
225-4650,SY,* * * Requires Special Provision * * *,LIME-STABILIZED RECLAIMED BASE MATERIAL -
225-4830,SY,,"SOIL-LIME TREATED, SUBBASE, CL B, 6 IN"
225-4840,SY,,"SOIL-LIME TREATED, SUBBASE, CL B, 8 IN"
225-9000,TN,* * * Requires Special Provision * * *,HYDRATED LIME
225-9001,TN,,LIME
228-1000,MI,* * * Requires Special Provision * * *,"GRADING - MODIFIED, INCL HAUL"
231-1250,EA,* * * Requires Special Provision * * *,"MISCELLANEOUS CONSTRUCTION, UNPAVED ROADS, STREETS AND  DRIVEWAYS"
232-0001,LS,* * * Requires Special Provision * * *,RAILROAD CONSTRUCTION
232-0200,LF,* * * Requires Special Provision * * *,DETOUR TRACK CONSTR AND REMOVED
232-0500,LF,* * * Requires Special Provision * * *,CONSTRUCT TRACKS
232-1025,LM,* * * Requires Special Provision * * *,"LINING, SURFACING AND TAMPING"
232-4000,TN,* * * Requires Special Provision * * *,SUB-BALLAST
232-5000,TN,* * * Requires Special Provision * * *,BALLAST
232-8998,LF,* * * Requires Special Provision * * *,"GRADE CROSSING, PRECAST CONCRETE"
232-9020,EA,* * * Requires Special Provision * * *,REMOVE BOLTED CROSSING
232-9021,EA,* * * Requires Special Provision * * *,BOLTED CROSSING INSTALLED
301-1002,CY,,"SOIL-CEM MATL, INCL HAUL"
301-2140,SY,,"SOIL-CEM STAB BASE CRS, 6 IN"
301-2160,SY,,"SOIL-CEM STAB BASE CRS, 8 IN"
301-2170,SY,,"SOIL-CEM STAB BASE CRS, 10 IN"
301-2190,SY,,"SOIL-CEM STAB BASE CRS, 12 IN"
301-2260,SY,,"SOIL-CEM STAB SUBBASE CRS, 8 IN"
301-4121,SY,,"PRE-MIXED SOIL-CEM STAB BASE CRS, 4 IN, INCL MATL AND HAUL"
301-4141,SY,,"PRE-MIXED SOIL-CEM STAB BASE CRS, 6 IN, INCL MATL AND HAUL"
301-4161,SY,,"PRE-MIXED SOIL-CEM STAB BASE CRS, 8 IN, INCL MATL AND HAUL"
301-4171,SY,,"PRE-MIXED SOIL-CEM STAB BASE CRS, 10 IN, INCL MATL AND HAUL"
301-5000,TN,,PORTLAND CEMENT
301-5010,SY,,"PORTLAND CEMENT CONCRETE PAVING, 8 IN REINF CONC"
301-6000,SY,* * * Requires Special Provision * * *,CEMENT TREATED BASE COURSE
302-0001,SY,,SAND-BITUMINOUS MATERIAL
302-1000,CY,,SAND-BITUM STAB BASE CRS MATL
302-1002,CY,,"SAND-BITUM STAB BASE CRS MATL, INCL HAUL"
302-1003,CY,,"SAND-BITUM STAB BASE CRS MATL, INCL MATL & HAUL"
302-2020,SY,,"SAND-BITUM STAB BASE CRS, 4 IN"
302-2040,SY,,"SAND-BITUM STAB BASE CRS, 6 IN"
302-5000,GL,,BITUM MATL
303-0045,CY,,"TPSL, SD-CL, OR CHERT BASE & SHLDR CRS, CL B"
303-0081,TN,,"STAB AGGR, TP I, INCL MATL"
303-0082,TN,,"STAB AGGR, TP II, INCL MATL"
303-0083,TN,,"STAB AGGR, TP III, INCL MATL"
303-0126,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL A, 6 IN, INCL MATL"
303-0128,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL A, 8 IN, INCL MATL"
303-0146,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL B, 6 IN"
303-0148,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL B, 8 IN"
303-0166,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL B, 6 IN, INCL MATL"
303-0168,SY,,"TPSL, SD-CL, OR CHERT BASE CRS, CL B, 8 IN, INCL MATL"
303-0446,SY,,"TPSL, SD-CL, OR CHERT BASE & SHLDR CRS, CL B, 6 IN"
303-0448,SY,,"TPSL, SD-CL, OR CHERT BASE & SHLDR CRS, CL B, 8 IN"
303-0466,SY,,"TPSL, SD-CL, OR CHERT BASE & SHLDR CRS, CL B, 6 IN, INCL MATL"
303-0468,SY,,"TPSL, SD-CL, OR CHERT BASE & SHLDR CRS, CL B, 8 IN, INCL MATL"
304-0306,SY,,"SOIL AGGR BASE CRS, 6 IN, INCL MATL"
304-0308,SY,,"SOIL AGGR BASE CRS, 8 IN, INCL MATL"
306-0100,SY,* * * Requires Special Provision * * *,FULL-DEPTH RECLAMED BASE COURSE
306-0200,SY,* * * Requires Special Provision * * *,EXCAVATION FOR WIDENING
306-0300,TN,* * * Requires Special Provision * * *,ADDITIONAL BASE MATERIAL
306-0400,GL,* * * Requires Special Provision * * *,ASPHALT EMULSION
307-0001,SY,,"IMPERMEABLE MEMBRANE FOR SUBGRADES, BASINS, DITCHES, AND CANALS"
310-1101,TN,,"GR AGGR BASE CRS, INCL MATL"
310-1201,TN,,"GR AGGR SUBBASE CRS, INCL MATL"
310-1401,TN,,"GR AGGR BASE & SHLDR CRS, INCL MATL"
310-5030,SY,,"GR AGGR BASE CRS, 3 INCH, INCL MATL"
310-5040,SY,,"GR AGGR BASE CRS, 4 INCH, INCL MATL"
310-5050,SY,,"GR AGGR BASE CRS, 5 INCH, INCL MATL"
310-5060,SY,,"GR AGGR BASE CRS, 6 INCH, INCL MATL"
310-5063,SY,* * * Requires Special Provision * * *,"GR AGGR BASE CRS, 6 INCH, INCL MATL - IP"
310-5065,SY,,"GR AGGR BASE CRS, 6 1/2 IN , INCL MATL"
310-5070,SY,,"GR AGGR BASE CRS, 7 INCH, INCL MATL"
310-5080,SY,,"GR AGGR BASE CRS, 8 INCH, INCL MATL"
310-5090,SY,,"GR AGGR BASE CRS, 9 INCH, INCL MATL"
310-5100,SY,,"GR AGGR BASE CRS, 10 INCH, INCL MATL"
310-5120,SY,,"GR AGGR BASE CRS, 12 INCH, INCL MATL"
310-5140,SY,,"GR AGGR BASE CRS, 14 IN, INCL MATL"
310-5160,SY,,"GR AGGR BASE CRS, 16 IN, INCL MATL"
310-7060,SY,,"GR AGGR SHLDR CRS, 6 INCH, INCL MATL"
310-7100,SY,,"GR AGGR SHLDR CRS, 10 INCH, INCL MATL"
315-1000,TN,,PORTLAND CEMENT
315-1010,SY,,"CEMENT STABILIZED RECLAIMED BASE COURSE, 10 IN, INCL MATERAL"
315-1060,SY,,"CEMENT STABILIZED RECLAIMED BASE COURSE, 6 IN, INCL MATERAL"
315-1080,SY,,"CEMENT STABILIZED RECLAIMED BASE COURSE, 8 IN, INCL MATERAL"
316-2181,SY,* * * Requires Special Provision * * *,"GR AGGR, CEM STAB, BASE CRS, 10 IN, INCL MATL"
317-1000,CY,,ADDL RECONSTR BASE MATL
317-5000,MI,,PREPARATION OF BASE
317-6000,SY,,PREPARATION OF BASE
318-1000,CY,,SELECTED MATERIAL SURFACE COURSE
318-2000,SY,,IN-PLACE SELECTED MATERIAL SURFACE COURSE
318-3000,TN,,AGGR SURF CRS
319-2000,CY,* * * Requires Special Provision * * *,SOIL-LIME-FLY ASH MATL
326-1150,SY,,"PORTLAND CEMENT CONC SUBBASE, 5 IN"
329-1000,CY,* * * Requires Special Provision * * *,CRUSHED CONCRETE MATERIALS
329-1100,CY,* * * Requires Special Provision * * *,CRUSHED ASPHALT MATERIALS
329-2100,CY,* * * Requires Special Provision * * *,"RECLAIMING, CRUSHING AND STOCKPILING OF CONCRETE AND ASPHALT PAVEMENTS"
400-0005,*$*,* * * Requires Special Provision * * *,ASPHALT CEMENT PRICE ADJUSTMENT
400-3080,TN,* * * Requires Special Provision * * *,"ASPH CONC 25 MM SUPERPAVE, INCL BITUM MATL, GILSONITE MODIFIER & H LIME"
400-3101,TN,,"ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL, GILSONITE MODIFIER & H LIME"
400-3131,TN,,"ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
400-3150,TN,,"ASPH CONC 9.5 MM OGFC, GP 2 ONLY, INCL POLY-MOD., BIT.  MATERIAL AND H LIME"
400-3205,TN,,"ASPH CONC 12.5 MM OGFC, GP 2 ONLY, INCL BITUM MATL & H LIME"
400-3206,TN,,"ASPH CONC 12.5 MM OGFC, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
400-3207,TN,,"ASPH CONC 12.5 MM OGFC, GP 2 ONLY, INCL GTR-MODIFIED BITUM MATL & H LIME"
400-3402,TN,,"ASPH CONC 19 MM SMA, GP 2 ONLY, INCL POLYMER-MODIFIED  BITUM MATL & H LIME"
400-3504,TN,,"ASPH CONC 12.5 MM PEM, GP 2 ONLY, INCL BITUM MATL & H LIME"
400-3600,TN,,"ASPH CONC 9.5 MM SMA, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
400-3604,TN,,"ASPH CONC 12.5 MM SMA, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
400-3605,TN,,"ASPH CONC 19MM SUPERPAVE, GP 1 0R 2, INCL POLYMER MODIFIED BITUM MATL & H LIME"
400-3624,TN,,"ASPH CONC 12.5 MM PEM, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
400-8900,SY,* * * Requires Special Provision * * *,"ASPH CONC SPALL REPAIR, INCL BITUM MATL & H LIME"
401-1000,TN,,COLD MIX
402-0005,*$*,* * * Requires Special Provision * * *,ASPHALT CEMENT PRICE ADJUSTMENT
402-1801,TN,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL"
402-1802,TN,,"RECYCLED ASPH CONC PATCHING, INCL BITUM MATL & H LIME"
402-1803,TN,,"RECYCLED ASPH CONC PATCHING, INCL POLYMER MODIFIED BITUM MATL & H LIME"
402-1805,TN,,"RECYCLED ASPH CONC PATCHING, SMA GP 1 OR 2, INCL POLYMER-MODIFIED   BITUM MATL & H LIME"
402-1812,TN,,"RECYCLED ASPH CONC LEVELING, INCL BITUM MATL & H LIME"
402-1815,TN,,"RECYCLED ASPH CONC LEVELING, INCL BITUM MATL & HS LASA"
402-1818,TN,,"RECYCLED ASPH CONC LEVELING, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3100,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE I, GP 1 OR BLEND 1, INCL BITUM MATL & H LIME"
402-3101,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE I, BLEND 1, INCL BITUM MATL & H LIME"
402-3102,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE II, BLEND 1, INCL BITUM MATL & H LIME"
402-3103,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE II, GP 2 ONLY, INCL BITUM MATL & H LIME"
402-3105,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE I, GP 1 OR BLEND 1, INCL BITUM MATL & HS LASA"
402-3106,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE I, BLEND 1, INCL BITUM MATL & HS LASA"
402-3107,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE II, BLEND 1, INCL BITUM MATL & HS LASA"
402-3108,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TYPE II, GP 2, INCL BITUM MATL & HS LASA"
402-3111,TN,,"RECYCLED ASPH CONC 19 MM MIX, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-3113,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-3121,TN,,"RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-3122,TN,,"RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL POLY-MOD, BITUM MATL & H LIME"
402-3127,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL REINFORCEMENT FIBER, BITUM MATL & H LIME"
402-3129,TN,,"RECYCLED ASPH CONC 12.5 MM MIX, GP 2 ONLY, INCL BITUM MATL & H LIME"
402-3130,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME"
402-3133,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL"
402-3141,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL"
402-3143,TN,,"RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL"
402-3147,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, BLEND 1, INCL BITUM MATL & H LIME"
402-3148,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, BLEND 1, INCL BITUM MATL"
402-3150,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & HS LASA"
402-3190,TN,,"RECYCLED ASPH CONC 19 MM SUPERPAVE, GP 1 OR 2,INCL BITUM MATL & H LIME"
402-3192,TN,,"RECYCLED ASPH CONC 19 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL"
402-3575,TN,,"RECYCLED ASPH CONC 9.5 MM, SMA, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3600,TN,,"RECYCLED ASPH CONC 12.5 MM, SMA, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3604,TN,,"RECYCLED ASPH CONC 12.5 MM, SMA, GP 2 ONLY, INCL GTR-MODIFIED BITUM MATL & H LIME"
402-3605,TN,,"RECYCLED ASPH CONC 12.5 MM, SMA, GP 1 OR 2, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3606,TN,,"RECYCLED ASPH CONC 19 MM SMA, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3814,TN,,"RECYCLED ASPH CONC 4.75 MM MIX, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-3815,TN,,"RECYCLED ASPH CONC 4.75 MM MIX, GP 2 ONLY, INCL BITUM MATL & H LIME"
402-3816,TN,,"RECYCLED ASPH CONC 4.75 MM MIX, BLEND 1, INCL  BITUM MATL & H LIME"
402-3818,TN,,"RECYCLED ASPH CONC 4.75 MM MIX, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-3820,TN,* * * Requires Special Provision * * *,"RECYCLED ASPH CONC 4.75 MM MIX, GP 1 OR 2, INCL BITUM MATL & HS LASA"
402-3822,TN,* * * Requires Special Provision * * *,"RECYCLED ASPH CONC 4.75 MM MIX, GP 2 ONLY, INCL BITUM MATL & HS LASA"
402-3824,TN,* * * Requires Special Provision * * *,"RECYCLED ASPH CONC 4.75 MM MIX, BLEND 1, INCL BITUM MATL & HS LASA"
402-3910,SY,,"1 1/2 IN RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL BITUM MATL & H LIME"
402-3915,SY,,"1 1/2 IN RECYCLED ASPH CONC 12.5MM SUPERPAVE, GP 1 OR 2,INCL BITUM. MATL & H LIME"
402-4012,SY,,"2 IN RECYCLED ASPH CONC 19 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-4306,SY,,"3 IN RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-4310,SY,,"4 IN RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-4315,SY,,"5 IN RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-4318,SY,,"6 IN RECYCLED ASPH CONC 25 MM SUPERPAVE, GP 1 OR 2, INCL BITUM MATL & H LIME"
402-4506,TN,,"RECYCLED ASPH CONC 9.5 MM SUPERPAVE, TP II, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-4510,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-4512,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL GTR-MODIFIED BITUM MATL & H LIME"
402-4514,TN,,"RECYCLED ASPH CONC 19 MM SUPERPAVE, GP 1 OR 2, INCL POLYMER-MODIFIED BITUM MATL & H LIME"
402-4605,TN,,"RECYCLED ASPH CONC 19 MM SUPERPAVE, GP 1 OR 2, INCL HIGHLY MODIFIED POLYMER BITUM MATL & H LIME"
402-4610,TN,,"RECYCLED ASPH CONC 12.5 MM SUPERPAVE, GP 2 ONLY, INCL HIGHLY MODIFIED POLYMER BITUM MATL & H LIME"
403-1000,SY,,HOT-IN-PLACE RECYCLED ASPH CONC
403-3000,SY,,"HOT-IN-PLACE RECYCLED ASPHALTIC CONCRETE, INCL POLYMER- MODIFIER"
404-1100,SY,* * * Requires Special Provision * * *,"PAVER-LAID SURFACE TREATMENT, TP B"
404-1200,SY,* * * Requires Special Provision * * *,"PAVER-LAID SURFACE TREATMENT, TP C"
407-0010,LF,,"ASPHALT-RUBBER JOINT AND CRACK SEAL, TP M"
407-0020,LF,,"ASPHALT-RUBBER JOINT AND CRACK SEAL, TP S"
407-0030,LF,,POLYMER-MODIFIED ASPHALT RUBBER JOINT AND CRACK SEAL
408-9010,LF,* * * Requires Special Provision * * *,JOINT AND CRACK CLEANING AND SEALING IN PCC PAVEMENT
410-0100,TN,* * * Requires Special Provision * * *,"RECYCLED WARM MIX ASPHALTIC CONCRETE LEVELING,  INCL BITUM MATL & H LIME"
410-0200,TN,* * * Requires Special Provision * * *,"RECYCLED WARM MIX ASPHALTIC CONCRETE PATCHING, INCL BITUM MATL & H LIME"
410-0250,TN,* * * Requires Special Provision * * *,"RECYCLED WARM MIX ASPHALTIC CONCRETE 9.5 MM SUPERPAVE, TP II, GP II ONLY, INCL BITUM MATL & H LIME"
410-0300,TN,* * * Requires Special Provision * * *,"RECYCLED WARM MIX ASPHALTIC CONCRETE 12.5 MM SUPERPAVE, GP II ONLY, INCL BITUM MATL & H LIME"
412-1000,GL,* * * County Contracts Only * * *,BITUMINOUS PRIME
413-0005,*$*,* * * Requires Special Provision * * *,ASPHALT CEMENT PRICE ADJUSTMENT
413-0500,GL,,DILUTED EMULSIFIED ASPH TACK COAT
413-0750,GL,,TACK COAT
413-1200,GL,,NON-TRACKING EMULSIFIED TACK COAT
413-1250,GL,* * * Requires Special Provision * * *,NON-TRACKING HOT-APPLIED ASPHALT CEMENT TACK COAT
415-0000,$,,ASPHALTIC CONCRETE OPEN GRADED CRACKED RELIEF INTERLAYER
415-1000,TN,,"ASPHALTIC CONCRETE OPEN GRADED CRACKED RELIEF INTERLAYER, GP BLEND, INCL BITUM MATL & H LIME"
415-1010,TN,* * * Requires Special Provision * * *,"ASPHALTIC CONCRETE OPEN GRADED CRACKED RELIEF INTERLAYER, GP 1 OR 2, INCL BITUM MATL & H LIME"
415-5000,TN,,"ASPHALTIC CONCRETE OPEN GRADED CRACK RELIEF INTERLAYER, GP 2 ONLY, INCL BITUM MATL & H LIME"
416-1000,L S,* * * Requires Special Provision * * *,INTELLIGENT COMPACTION FOR ASPHALTIC CONCRETE CONSTRUCTION
417-1000,LS,* * * Requires Special Provision * * *,PAVER MOUNTED INFRARED TEMPERATURE BAR FOR ASPHALTIC CONCRETE
418-0000,$,* * * Requires Special Provision * * *,COLD IN PLACE RECYCLING MIXTURES
418-1000,SY,* * * Requires Special Provision * * *,COLD IN PLACE RECYCLING MIXTURES -
418-1100,TN,* * * Requires Special Provision * * *,CIR - EMULSIFIED ASPHALT OR OTHER BITUM AGENT
418-1200,TN,* * * Requires Special Provision * * *,COLD IN PLACE RECYCLING - ADDITIONAL RAP
418-1300,TN,* * * Requires Special Provision * * *,COLD IN PLACE RECYCLING - ADDITIONAL AGGREGATE
419-0000,$,,SEC 419 HIGH FRICTION SURFACE TREATMENT
419-1000,SY,* * * Requires Special Provision * * *,HIGH FRICTION SURFACE TREATMENT
420-0010,SY,,BITUMINOUS SCRUB SEAL TYPE A
420-0020,SY,,BITUMINOUS SCRUB SEAL TYPE B
420-0030,SY,,BITUMINOUS SCRUB SEAL TYPE C
423-1000,SY,,"SURFACING FOR SHOULDER TREATMENT, INCL BITUM AND/OR CEMENTITIOUS"
424-0005,*$*,* * * Requires Special Provision * * *,ASPHALT CEMENT PRICE ADJUSTMENT
424-5006,SY,,"SINGLE SURFACE TRTMT, STN SIZE 6 , GP 1 OR 2"
424-5007,SY,,"SINGLE SURFACE TRTMT, STN SIZE 7 , GP 1 OR 2"
424-5089,SY,,"SINGLE SURFACE TRTMT, STN SIZE 89, GP 1 OR 2"
424-5090,SY,,"SINGLE SURFACE TRTMT, STN SIZE 89, GP 2"
424-5107,SY,,"SINGLE SURFACE TRTMT, STN SIZE 7 , GP 2 ONLY"
424-5185,SY,* * * Requires Special Provision * * *,"SINGLE SURFACE TRTMT, STN SIZE 78, GP 2 ONLY"
424-5190,SY,* * * Requires Special Provision * * *,"SINGLE SURFACE TREATMENT, STN SIZE 9, W/ LIGHTWEIGHT AGGREGATE AND LATEX MODIFIED EMULSION"
424-6006,SY,,"DOUBLE SURFACE TRTMT, STN SIZE 6 & 7 , GP 1 OR 2"
424-6089,SY,,"DOUBLE SURFACE TRTMT, STN SIZE 7 & 89, GP 1 OR 2"
424-6106,SY,,"DOUBLE SURFACE TRTMT, STN SIZE 6 & 7 , GP 2 ONLY"
424-6189,SY,,"DOUBLE SURFACE TRTMT, STN SIZE 7 & 89, GP 2 ONLY"
424-6190,SY,,"DOUBLE SURFACE TREATMENT, STN SIZE 7 & 89, GP 2 ONLY, INCL LATEX MODIFIED EMULSION"
424-6195,SY,* * * Requires Special Provision * * *,"DOUBLE SURFACE TREATMENT, STN SIZE 7 & 89, GP 2 ONLY, INCL  SEAL SAND 10 SM AND LATEX MODIFIED EMULSION"
424-6196,SY,* * * Requires Special Provision * * *,"DOUBLE SURFACE TREATMENT, STN SIZE 7 & 89, GP 2 ONLY, INCL SEAL SAND W 10 AND LATEX MODIFIED EMULSION"
424-6201,SY,* * * Requires Special Provision * * *,"DOUBLE SURFACE TREATMENT , STN SIZE 7 & 89, GP 2 ONLY, WITH SEAL SAND W 10"
424-7005,SY,,"TRIPLE SURFACE TRTMT, STN SIZE 5, 7 & 89, GP 1 OR 2"
424-7080,SY,,"TRIPLE SURFACE TRTMT, STN SIZE 5, 7 & 89, GP 2 ONLY, INCL SAND SEAL W 10"
424-7087,SY,* * * Requires Special Provision * * *,"TRIPLE SURFACE TREATMENT, STONE SIZE 5, 7 & 89, GP 2 ONLY INCL LATEX MODIFIED EMULSION"
424-7088,SY,* * * Requires Special Provision * * *,"TRIPLE SURFACE TREATMENT, STONE SIZE 6, 7, & 89, GP 2 ONLY INCL. LATEX MODIFIED EMULSION"
424-7089,SY,,"TRIPLE SURFACE TRTMT, STN SIZE 6, 7 & 89, GP 1 OR 2"
424-7200,SY,* * * Requires Special Provision * * *,"TRIPLE SURFACE TREATMENT , STN SIZE 6, 7 & 89, GP 2 ONLY, WITH SEAL SAND W 10"
424-7205,SY,* * * Requires Special Provision * * *,"TRIPLE SURFACE TREATMENT, STN SIZE 6, 7 & 89, GP 2 ONLY, INCL  SEAL SAND W 10 AND LATEX MODIFIED EMULSION"
427-0102,SY,,"EMULSIFIED ASPH SLURRY SEAL, TP SS, STN GP II"
428-1000,SY,,"MICRO-SURFACING, TP II"
428-1110,TN,,"MICRO-SURFACING, TP II, LEVELING"
428-1115,SY,,"MICRO-SURFACING, TYPE I"
428-1120,TN,,"MICRO-SURFACING, TYPE I LEVELING"
429-1000,EA,,RUMBLE STRIPS
430-0140,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 4 INCH THK"
430-0160,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 6 INCH THK"
430-0165,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 6 1/2 IN THK"
430-0170,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 7 INCH THK"
430-0180,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 8 INCH THK"
430-0185,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 8 1/2 IN THK"
430-0190,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 9 INCH THK"
430-0195,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 9 1/2 IN THK"
430-0200,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 10 INCH THK"
430-0205,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 10 1/2 INCH THK"
430-0210,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 11 INCH THK"
430-0211,SY,,"PLAIN PC CONC PVMT, CL 1 CONC, 11 1/2 INCH THK"
